 nnnn ,   dte   ,dd/mm/yyyy,hh:mm:ss,   #1   ,   #2   ,   #3   ,   #4   ,   #5   ,   #6   ,   #7   ,   #8   ,   #9   ,   #10  
   193,666527628,12/02/2021,10:33:48,  393.29,  386.38,  387.55,   17.07,   16.92,   15.99,    0.85, 8107.70, 6031.21,11223.61
   194,666527629,12/02/2021,10:33:49,  394.14,  387.38,  389.86,   17.65,   17.35,   16.88,    0.60, 9905.03, 6199.19,11683.79
   195,666527630,12/02/2021,10:33:50,  401.87,  393.37,  394.76,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   196,666527632,12/02/2021,10:33:52,  401.12,  393.46,  394.20,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   197,666527633,12/02/2021,10:33:53,  402.04,  393.85,  394.96,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   198,666527634,12/02/2021,10:33:54,  400.64,  393.19,  394.05,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   199,666527635,12/02/2021,10:33:55,  390.30,  385.14,  385.36,   43.08,   38.78,   38.92,    0.29,26953.02,    0.00,26974.24
   200,666527636,12/02/2021,10:33:56,  401.33,  394.31,  394.98,   13.55,   12.80,   13.40,    0.47, 2635.77, 8719.68, 9108.55
   201,666527637,12/02/2021,10:33:57,  400.33,  392.48,  393.03,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   202,666527638,12/02/2021,10:33:58,  400.69,  392.69,  393.73,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   203,666527639,12/02/2021,10:33:59,  400.96,  393.46,  394.17,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   204,666527640,12/02/2021,10:34:00,  400.98,  392.84,  394.12,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   205,666527641,12/02/2021,10:34:01,  401.64,  393.32,  394.08,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   206,666527642,12/02/2021,10:34:02,  395.17,  388.47,  391.38,   18.86,   17.98,   17.13,    0.41,12214.95,    0.00,12227.08
   207,666527643,12/02/2021,10:34:03,  393.10,  386.00,  387.39,   16.89,   16.94,   16.16,    0.71, 4638.15,10210.18,11225.95
   208,666527644,12/02/2021,10:34:04,  393.94,  386.34,  387.84,   16.84,   16.80,   16.03,    0.87, 7953.44, 7838.61,11176.02
   209,666527645,12/02/2021,10:34:05,  400.50,  392.69,  393.50,    1.65,    1.50,    1.34,    0.32,  893.20,  189.67, 1027.61
   210,666527646,12/02/2021,10:34:06,  401.31,  393.01,  393.59,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   211,666527647,12/02/2021,10:34:07,  401.25,  393.33,  393.91,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   212,666527648,12/02/2021,10:34:08,  401.20,  392.92,  393.71,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   213,666527649,12/02/2021,10:34:09,  400.40,  391.77,  393.23,    4.61,    9.06,   11.62,    1.00, 5744.98,    0.00, 5747.24
   214,666527650,12/02/2021,10:34:10,  401.50,  394.31,  395.40,   13.47,   12.76,   13.04,    0.01, 9013.05,    0.00, 9010.00
   215,666527651,12/02/2021,10:34:11,  402.20,  394.48,  395.61,   12.67,   11.61,   11.35,    0.55,   86.85,-2800.81, 8176.31
   216,666527652,12/02/2021,10:34:12,  401.62,  393.09,  394.04,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   217,666527653,12/02/2021,10:34:13,  400.85,  392.95,  394.52,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   218,666527654,12/02/2021,10:34:14,  400.91,  393.13,  394.56,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   219,666527655,12/02/2021,10:34:15,  401.47,  393.33,  394.14,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   220,666527656,12/02/2021,10:34:16,  400.88,  392.72,  394.01,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   221,666527657,12/02/2021,10:34:17,  388.63,  382.29,  382.97,   39.56,   37.35,   35.01,    0.61,24873.87,    0.00,24836.56
   222,666527658,12/02/2021,10:34:18,  393.61,  386.10,  387.26,   16.74,   16.80,   15.98,    0.79, 6740.50, 8850.51,11129.05
   223,666527659,12/02/2021,10:34:19,  394.91,  388.03,  390.55,   18.79,   18.52,   17.49,    0.67, 9766.83, 7598.98,12386.71
   224,666527660,12/02/2021,10:34:20,  400.81,  392.44,  393.71,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   225,666527661,12/02/2021,10:34:21,  399.16,  391.84,  392.65,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   226,666527662,12/02/2021,10:34:22,  401.00,  392.89,  393.60,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   227,666527663,12/02/2021,10:34:23,  400.76,  392.97,  393.33,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   228,666527664,12/02/2021,10:34:24,  395.62,  389.25,  390.97,   18.84,    0.00,   18.51,    0.16, 8430.67,    0.00, 8440.43
   229,666527665,12/02/2021,10:34:25,  400.56,  393.68,  394.28,   13.42,   12.51,   12.89,    0.19, 3864.23, 5915.67, 8883.97
   230,666527666,12/02/2021,10:34:26,  400.70,  392.95,  393.44,    1.00,    0.88,    0.82,    0.44,  119.44, -605.35,  616.41
   231,666527667,12/02/2021,10:34:27,  400.82,  392.77,  393.94,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   232,666527668,12/02/2021,10:34:28,  400.03,  392.52,  393.65,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   233,666527670,12/02/2021,10:34:30,  400.64,  392.93,  393.50,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   234,666527671,12/02/2021,10:34:31,  400.52,  392.67,  393.91,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   235,666527672,12/02/2021,10:34:32,  393.03,  386.09,  388.25,   23.86,   22.24,   20.89,    0.59,15061.73,    0.00,15080.75
   236,666527673,12/02/2021,10:34:33,  392.52,  384.83,  386.49,   17.25,   17.24,   16.26,    0.66, 6708.47, 9181.49,11378.87
   237,666527674,12/02/2021,10:34:34,  392.18,  385.00,  386.24,   16.82,   16.83,   15.90,    0.87, 7355.41, 8315.14,11108.14
   238,666527675,12/02/2021,10:34:35,  400.30,  392.25,  393.77,    4.80,    4.40,    3.87,    0.43, 2607.32,  610.72, 2991.09
   239,666527676,12/02/2021,10:34:36,  400.90,  392.52,  393.37,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   240,666527677,12/02/2021,10:34:37,  400.52,  393.12,  393.51,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   241,666527678,12/02/2021,10:34:38,  400.84,  392.83,  393.33,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   242,666527679,12/02/2021,10:34:39,  400.63,  392.98,  393.40,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   243,666527680,12/02/2021,10:34:40,  401.10,  393.71,  394.39,   15.27,   14.43,   14.74,    0.07,10159.99,    0.00,10177.71
   244,666527681,12/02/2021,10:34:41,  400.72,  393.61,  394.81,   13.14,   12.43,   13.04,    0.57,  657.41, 8814.84, 8841.56
   245,666527682,12/02/2021,10:34:42,  399.18,  390.77,  391.87,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   246,666527683,12/02/2021,10:34:43,  399.91,  391.70,  392.87,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   247,666527684,12/02/2021,10:34:44,  400.88,  393.13,  393.95,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   248,666527685,12/02/2021,10:34:45,  401.30,  393.08,  393.86,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   249,666527686,12/02/2021,10:34:46,  401.15,  393.43,  394.17,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   250,666527687,12/02/2021,10:34:47,  381.12,  374.75,  376.05,   52.68,    0.00,   50.83,    0.64,22475.01,    0.00,22505.47
   251,666527688,12/02/2021,10:34:48,  393.76,  386.25,  387.91,   17.12,   17.09,   16.13,    0.71, 8622.16, 5743.42,11316.66
   252,666527689,12/02/2021,10:34:49,  394.87,  387.88,  390.32,   21.05,   20.59,   19.14,    0.73, 9712.96, 9691.33,13730.86
   253,666527690,12/02/2021,10:34:50,  400.34,  392.67,  393.67,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   254,666527691,12/02/2021,10:34:51,  401.28,  393.57,  393.90,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   255,666527692,12/02/2021,10:34:52,  401.23,  393.27,  394.26,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   256,666527693,12/02/2021,10:34:53,  400.31,  392.64,  393.27,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   257,666527694,12/02/2021,10:34:54,  396.72,  389.85,  392.11,   19.14,   18.99,   18.78,    0.17,12895.36,    0.00,12903.90
   258,666527695,12/02/2021,10:34:55,  401.17,  394.27,  394.87,   13.50,   12.78,   13.46,    0.17, 1553.75, 8961.56, 9095.86
   259,666527696,12/02/2021,10:34:56,  401.15,  393.23,  393.26,    1.78,    1.52,    1.46,    0.46,  181.08, -260.91, 1087.74
   260,666527697,12/02/2021,10:34:57,  399.62,  392.58,  392.96,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   261,666527698,12/02/2021,10:34:58,  400.77,  392.84,  394.06,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   262,666527699,12/02/2021,10:34:59,  400.00,  391.70,  393.06,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   263,666527700,12/02/2021,10:35:00,  400.94,  393.19,  393.88,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   264,666527701,12/02/2021,10:35:01,  399.86,  391.36,  393.07,    6.07,   12.08,   14.61,    1.00, 7432.89,    0.00, 7427.60
   265,666527702,12/02/2021,10:35:02,  395.09,  387.44,  389.30,   17.58,   17.29,   16.29,    0.61,11550.93,    0.00,11545.35
   266,666527703,12/02/2021,10:35:03,  394.24,  387.10,  388.25,   17.13,   17.07,   16.15,    0.87, 6935.10, 8961.89,11343.04
   267,666527704,12/02/2021,10:35:04,  399.51,  391.84,  392.59,   11.19,   10.30,    9.16,    0.49, 6072.16, 1286.22, 6985.25
   268,666527706,12/02/2021,10:35:06,  401.49,  393.69,  394.15,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   269,666527707,12/02/2021,10:35:07,  401.81,  393.76,  394.81,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   270,666527708,12/02/2021,10:35:08,  401.43,  393.48,  393.94,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   271,666527709,12/02/2021,10:35:09,  401.11,  393.77,  394.55,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   272,666527710,12/02/2021,10:35:10,  401.20,  393.96,  394.60,   20.08,   19.42,   18.53,    0.13,13304.25,    0.00,13285.39
   273,666527711,12/02/2021,10:35:11,  402.60,  395.31,  396.29,   13.46,   12.93,   13.43,    0.56, 1210.69, 9070.43, 9142.90
   274,666527712,12/02/2021,10:35:12,  401.22,  393.65,  394.46,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   275,666527713,12/02/2021,10:35:13,  402.12,  393.88,  395.10,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   276,666527714,12/02/2021,10:35:14,  401.05,  393.07,  393.94,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   277,666527715,12/02/2021,10:35:15,  401.74,  393.92,  395.17,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   278,666527716,12/02/2021,10:35:16,  402.46,  393.91,  395.46,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   279,666527717,12/02/2021,10:35:17,  395.24,  386.87,  389.45,   17.38,   19.58,   29.74,    0.46,14971.61,    0.00,14965.50
   280,666527718,12/02/2021,10:35:18,  394.06,  386.53,  388.64,   17.07,   17.04,   16.23,    0.74, 5168.07,10084.86,11334.20
   281,666527719,12/02/2021,10:35:19,  394.28,  386.78,  388.59,   20.73,   25.25,   23.34,    0.84,11579.43,10439.70,15616.32
   282,666527720,12/02/2021,10:35:20,  402.11,  394.12,  394.87,    0.72,    0.66,    0.58,    0.26,  377.06,   52.34,  450.27
   283,666527721,12/02/2021,10:35:21,  402.15,  394.51,  394.74,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   284,666527722,12/02/2021,10:35:22,  401.96,  393.95,  394.45,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   285,666527723,12/02/2021,10:35:23,  402.68,  394.38,  395.09,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   286,666527724,12/02/2021,10:35:24,  397.48,  391.22,  392.54,   19.02,   19.77,   19.46,    0.27,13254.62,    0.00,13230.42
   287,666527725,12/02/2021,10:35:25,  402.03,  395.39,  395.94,   13.55,   12.57,   13.13,    0.09, 2456.40, 8670.14, 9017.47
   288,666527726,12/02/2021,10:35:26,  401.38,  393.87,  394.70,    5.18,    4.56,    4.36,    0.49,  301.02,-3215.45, 3230.50
   289,666527727,12/02/2021,10:35:27,  402.54,  394.20,  395.02,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   290,666527728,12/02/2021,10:35:28,  401.84,  394.04,  394.26,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   291,666527729,12/02/2021,10:35:29,  401.46,  393.16,  394.03,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   292,666527730,12/02/2021,10:35:30,  401.27,  393.71,  394.29,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   293,666527731,12/02/2021,10:35:31,  402.05,  393.78,  394.39,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   294,666527732,12/02/2021,10:35:32,  393.93,  385.78,  387.42,   19.46,   19.09,   18.05,    0.60,12714.94,    0.00,12712.91
   295,666527733,12/02/2021,10:35:33,  394.12,  386.35,  388.20,   16.75,   16.79,   15.93,    0.86, 6738.85, 8855.48,11120.83
   296,666527734,12/02/2021,10:35:34,  395.30,  388.42,  390.30,   17.59,   16.95,   15.89,    0.57, 9824.74, 5771.62,11417.33
   297,666527735,12/02/2021,10:35:35,  401.09,  393.40,  393.84,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   298,666527736,12/02/2021,10:35:36,  400.79,  393.52,  394.17,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   299,666527737,12/02/2021,10:35:37,  400.46,  392.65,  393.50,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   300,666527738,12/02/2021,10:35:38,  401.90,  394.11,  394.44,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   301,666527739,12/02/2021,10:35:39,  397.15,  390.73,  391.55,   30.92,    0.00,   27.24,    0.20,13155.42,    0.00,13169.30
   302,666527740,12/02/2021,10:35:40,  402.13,  394.92,  395.65,   13.51,   12.75,   13.10,    0.52, 4136.30, 5963.29, 9030.99
   303,666527742,12/02/2021,10:35:42,  401.87,  393.70,  394.78,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   304,666527743,12/02/2021,10:35:43,  401.66,  393.49,  394.35,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   305,666527744,12/02/2021,10:35:44,  400.90,  392.85,  393.25,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   306,666527745,12/02/2021,10:35:45,  400.80,  393.07,  393.67,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   307,666527746,12/02/2021,10:35:46,  401.23,  393.71,  393.97,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   308,666527747,12/02/2021,10:35:47,  395.98,  389.12,  391.57,   18.09,   17.10,   16.82,    0.40,11782.35,    0.00,11783.38
   309,666527748,12/02/2021,10:35:48,  394.49,  386.93,  388.30,   16.87,   16.98,   16.17,    0.72, 4497.00,10318.22,11267.36
   310,666527749,12/02/2021,10:35:49,  394.75,  387.04,  388.98,   16.78,   16.76,   15.90,    0.87, 8086.43, 7672.35,11136.29
   311,666527750,12/02/2021,10:35:50,  401.93,  394.19,  395.40,    1.66,    1.46,    1.31,    0.32,  882.38,  189.57, 1016.33
   312,666527751,12/02/2021,10:35:51,  401.83,  393.43,  394.90,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   313,666527752,12/02/2021,10:35:52,  401.49,  393.48,  394.52,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   314,666527753,12/02/2021,10:35:53,  401.38,  393.46,  394.65,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   315,666527754,12/02/2021,10:35:54,  396.08,  388.97,  390.67,   17.84,   18.13,   16.43,    0.85,11853.22,    0.00,11859.94
   316,666527755,12/02/2021,10:35:55,  401.39,  394.21,  395.68,   13.34,   12.58,   13.19,    0.04, 7689.65, 4446.01, 8970.00
   317,666527756,12/02/2021,10:35:56,  401.15,  394.25,  394.90,   12.19,   10.83,   10.70,    0.56,  321.01,-7725.49, 7722.08
   318,666527757,12/02/2021,10:35:57,  401.52,  393.08,  394.41,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   319,666527758,12/02/2021,10:35:58,  400.72,  393.41,  394.09,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   320,666527759,12/02/2021,10:35:59,  401.62,  393.89,  394.53,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   321,666527760,12/02/2021,10:36:00,  401.70,  394.05,  394.79,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   322,666527761,12/02/2021,10:36:01,  401.03,  393.18,  394.15,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   323,666527762,12/02/2021,10:36:02,  391.24,  384.03,  385.41,   33.59,   32.05,   29.70,    0.61,21291.45,    0.00,21292.45
   324,666527763,12/02/2021,10:36:03,  394.50,  386.97,  388.80,   16.97,   16.92,   16.09,    0.82, 6853.02, 8931.23,11272.70
   325,666527764,12/02/2021,10:36:04,  396.17,  389.68,  391.69,   17.87,   17.58,   17.13,    0.65, 9698.42, 6903.76,11916.03
   326,666527765,12/02/2021,10:36:05,  402.17,  394.07,  394.96,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   327,666527766,12/02/2021,10:36:06,  402.18,  394.51,  395.80,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   328,666527767,12/02/2021,10:36:07,  402.62,  394.51,  395.44,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   329,666527768,12/02/2021,10:36:08,  401.99,  393.45,  395.09,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   330,666527769,12/02/2021,10:36:09,  397.29,  389.57,  391.89,   19.13,   19.12,   24.57,    0.17,14248.06,    0.00,14248.54
   331,666527770,12/02/2021,10:36:10,  401.96,  394.04,  395.67,   13.09,   12.38,   13.10,    0.23, 1520.88, 8706.69, 8846.62
   332,666527771,12/02/2021,10:36:11,  401.34,  393.64,  394.59,    0.81,    0.70,    0.68,    0.43,  114.94, -488.53,  501.96
   333,666527772,12/02/2021,10:36:12,  401.63,  393.62,  394.60,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   334,666527773,12/02/2021,10:36:13,  402.00,  394.20,  394.94,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   335,666527774,12/02/2021,10:36:14,  401.70,  394.17,  394.77,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   336,666527775,12/02/2021,10:36:15,  402.23,  393.83,  395.24,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   337,666527776,12/02/2021,10:36:16,  398.77,  389.86,  391.96,   10.88,   14.80,   18.15,    1.00, 9917.73,    0.00, 9934.77
   338,666527777,12/02/2021,10:36:17,  394.57,  386.93,  389.09,   17.30,   16.99,   16.06,    0.64,11298.43,  695.95,11344.12
   339,666527779,12/02/2021,10:36:19,  394.56,  387.09,  389.03,   17.06,   16.89,   16.05,    0.87, 7183.55, 8688.26,11277.37
   340,666527780,12/02/2021,10:36:20,  401.76,  393.35,  394.62,    3.77,    3.41,    3.03,    0.41, 2035.62,  234.53, 2340.80
   341,666527781,12/02/2021,10:36:21,  401.04,  393.42,  394.57,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   342,666527782,12/02/2021,10:36:22,  401.98,  394.40,  395.27,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   343,666527783,12/02/2021,10:36:23,  401.64,  393.58,  395.33,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   344,666527784,12/02/2021,10:36:24,  401.43,  393.48,  394.86,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   345,666527785,12/02/2021,10:36:25,  401.83,  395.05,  396.19,   14.92,   14.00,   14.70,    0.07,10005.42,    0.00,10021.16
   346,666527786,12/02/2021,10:36:26,  402.69,  395.06,  396.66,   13.05,   12.36,   13.16,    0.56,  649.92, 8843.88, 8870.93
   347,666527787,12/02/2021,10:36:27,  401.62,  393.54,  394.90,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   348,666527788,12/02/2021,10:36:28,  401.62,  393.91,  394.94,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   349,666527789,12/02/2021,10:36:29,  402.29,  394.19,  394.93,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   350,666527790,12/02/2021,10:36:30,  401.81,  394.20,  394.73,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   351,666527791,12/02/2021,10:36:31,  402.28,  394.32,  395.19,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   352,666527792,12/02/2021,10:36:32,  382.55,  376.16,  377.65,   52.60,   51.50,   50.58,    0.66,33849.53,    0.00,33816.06
   353,666527793,12/02/2021,10:36:33,  395.41,  388.23,  389.23,   17.17,   16.80,   16.05,    0.71, 7432.64, 8504.83,11308.63
   354,666527794,12/02/2021,10:36:34,  395.41,  388.77,  391.71,   21.82,   20.25,   19.25,    0.72, 9826.96, 9829.99,13887.25
   355,666527795,12/02/2021,10:36:35,  402.67,  394.93,  395.85,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   356,666527796,12/02/2021,10:36:36,  401.68,  393.72,  394.70,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   357,666527797,12/02/2021,10:36:37,  400.51,  392.54,  393.85,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   358,666527798,12/02/2021,10:36:38,  401.18,  393.59,  394.77,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   359,666527799,12/02/2021,10:36:39,  397.22,  391.46,  393.50,   19.19,   19.09,   19.18,    0.17,13055.60,    0.00,13060.78
   360,666527800,12/02/2021,10:36:40,  402.14,  395.32,  396.17,   13.44,   12.86,   13.55,    0.15, 1576.96, 9019.44, 9162.04
   361,666527801,12/02/2021,10:36:41,  401.40,  393.45,  394.97,    1.90,    1.68,    1.61,    0.46,  176.53, -407.39, 1187.66
   362,666527802,12/02/2021,10:36:42,  401.47,  393.83,  395.02,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   363,666527803,12/02/2021,10:36:43,  401.56,  393.94,  395.01,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   364,666527804,12/02/2021,10:36:44,  401.60,  393.27,  394.65,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   365,666527805,12/02/2021,10:36:45,  401.85,  393.90,  394.63,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   366,666527806,12/02/2021,10:36:46,  396.84,  388.94,  390.34,   18.12,   17.27,   19.19,    0.91,12362.92,    0.00,12354.92
   367,666527807,12/02/2021,10:36:47,  394.69,  386.69,  388.86,   17.18,   16.96,   16.09,    0.61,10331.23, 3730.83,11315.46
   368,666527808,12/02/2021,10:36:48,  394.37,  386.52,  388.64,   17.12,   16.94,   15.95,    0.87, 6899.95, 8891.54,11244.42
   369,666527809,12/02/2021,10:36:49,  400.69,  393.35,  394.08,    7.88,    7.26,    6.41,    0.47, 4285.17, 2442.53, 4935.75
   370,666527810,12/02/2021,10:36:50,  401.81,  393.61,  394.68,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   371,666527811,12/02/2021,10:36:51,  401.10,  393.88,  394.82,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   372,666527812,12/02/2021,10:36:52,  401.73,  393.93,  394.98,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   373,666527813,12/02/2021,10:36:53,  401.33,  393.56,  393.70,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   374,666527815,12/02/2021,10:36:55,  400.21,  393.08,  394.08,   18.19,   16.44,   16.56,    0.12,11698.12,    0.00,11698.36
   375,666527816,12/02/2021,10:36:56,  401.76,  394.97,  395.43,   13.53,   12.78,   13.39,    0.56, 1078.84, 9036.81, 9101.35
   376,666527817,12/02/2021,10:36:57,  401.54,  393.34,  394.29,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   377,666527818,12/02/2021,10:36:58,  401.33,  393.47,  394.90,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   378,666527819,12/02/2021,10:36:59,  402.05,  394.16,  394.56,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   379,666527820,12/02/2021,10:37:00,  402.20,  394.42,  394.96,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   380,666527821,12/02/2021,10:37:01,  401.48,  394.02,  394.37,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   381,666527822,12/02/2021,10:37:02,  391.57,  382.12,  385.90,   25.90,   32.72,   37.45,    0.52,21406.74,    0.00,21398.37
   382,666527823,12/02/2021,10:37:03,  394.47,  386.63,  388.30,   16.78,   16.69,   15.89,    0.74, 5791.03, 9483.52,11113.29
   383,666527824,12/02/2021,10:37:04,  393.91,  387.02,  388.83,   25.47,   26.81,   23.18,    0.79,12538.21,11448.80,16996.41
   384,666527825,12/02/2021,10:37:05,  401.72,  393.34,  394.11,    0.46,    0.42,    0.00,    0.25,  162.74,   10.98,  205.37
   385,666527826,12/02/2021,10:37:06,  401.39,  393.69,  394.15,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   386,666527827,12/02/2021,10:37:07,  402.03,  394.10,  395.12,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   387,666527828,12/02/2021,10:37:08,  401.68,  394.71,  395.36,    0.00,    0.00,    0.00,    1.00,    0.00,    0.00,    0.00
   388,666527829,12/02/2021,10:37:09,  397.45,  390.70,  392.61,   20.20,   19.02,   19.67,    0.25,13377.79,    0.00,13364.65
   389,666527830,12/02/2021,10:37:10,  402.63,  395.13,  395.94,   13.30,   12.48,   13.05,    0.11, 2259.02, 8626.77, 8921.19
