Hoist¹,HoistSalesDescription,Tons,meters,FEM,SERIE,ROLLZ,RopeD,TYPE,LSm/min,Column1,CTm/min,Column2,CTpcs,OVR,Model,Type2,NomI(A),1stkW,2ndkW,Voltage(V),S/DSP,IPPROTECT2,MODEL2,BRAKE,FR,1stPole,2ndPole,Model3,Type4,NomI(A)5,1stkW6,2ndkW7,Voltage(V)8,S/DSP9,IPPROTECT210,MODEL211,BRAKE12,FR13,1stPole14,2ndPole15
1835,12.5M632H6V44/1MKD5220/6,12.5,6,3m/M6,M632,41,15,DoubleGirder,4,1,20,6,1,Loadcell,MB160L-4/12FDB2336011.8/3.9kW400V50HzIP55TP,Cylindrical,24,11.8,3.9,400V,DoubleLiftingSpeed,IP55,MB160L,FDB23,50Hz,4,12,T100LA-4/12BR2001.1/0.37kW400V50HzIP55TP,Cylindrical,2.2,1.1,0.37,400V,DoubleLiftingSpeed,IP55,T100LA,BR,50Hz,4,12
1836,16M640H6V44/1MKD5220/6,16,6,2m/M5,M640,41,15,DoubleGirder,4,1,20,6,1,Loadcell,MB160L-4/12FDB2336011.8/3.9kW400V50HzIP55TP,Cylindrical,24,11.8,3.9,400V,DoubleLiftingSpeed,IP55,MB160L,FDB23,50Hz,4,12,T100LA-4/12BR2001.1/0.37kW400V50HzIP55TP,Cylindrical,2.2,1.1,0.37,400V,DoubleLiftingSpeed,IP55,T100LA,BR,50Hz,4,12
1839,12.5M632H8.5V44/1MKD5220/6,12.5,8.5,3m/M6,M632,41,15,DoubleGirder,4,1,20,6,1,Loadcell,MB160L-4/12FDB2336011.8/3.9kW400V50HzIP55TP,Cylindrical,24,11.8,3.9,400V,DoubleLiftingSpeed,IP55,MB160L,FDB23,50Hz,4,12,T100LA-4/12BR2001.1/0.37kW400V50HzIP55TP,Cylindrical,2.2,1.1,0.37,400V,DoubleLiftingSpeed,IP55,T100LA,BR,50Hz,4,12
1840,16M640H8.5V44/1MKD5220/6,16,8.5,2m/M5,M640,41,15,DoubleGirder,4,1,20,6,1,Loadcell,MB160L-4/12FDB2336011.8/3.9kW400V50HzIP55TP,Cylindrical,24,11.8,3.9,400V,DoubleLiftingSpeed,IP55,MB160L,FDB23,50Hz,4,12,T100LA-4/12BR2001.1/0.37kW400V50HzIP55TP,Cylindrical,2.2,1.1,0.37,400V,DoubleLiftingSpeed,IP55,T100LA,BR,50Hz,4,12
1843,12.5M632H12V44/1MKD5220/6K,12.5,12,3m/M6,M632,41,15,DoubleGirder,4,1,20,6,1,Loadcell,MB160L-4/12FDB2336011.8/3.9kW400V50HzIP55TP,Cylindrical,24,11.8,3.9,400V,DoubleLiftingSpeed,IP55,MB160L,FDB23,50Hz,4,12,T100LA-4/12BR2001.1/0.37kW400V50HzIP55TP,Cylindrical,2.2,1.1,0.37,400V,DoubleLiftingSpeed,IP55,T100LA,BR,50Hz,4,12
1844,16M640H12V44/1MKD5220/6K,16,12,2m/M5,M640,41,15,DoubleGirder,4,1,20,6,1,Loadcell,MB160L-4/12FDB2336011.8/3.9kW400V50HzIP55TP,Cylindrical,24,11.8,3.9,400V,DoubleLiftingSpeed,IP55,MB160L,FDB23,50Hz,4,12,T100LA-4/12BR2001.1/0.37kW400V50HzIP55TP,Cylindrical,2.2,1.1,0.37,400V,DoubleLiftingSpeed,IP55,T100LA,BR,50Hz,4,12
1847,12.5M632H15.5V44/1MKD5220/6K,12.5,15.5,3m/M6,M632,41,15,DoubleGirder,4,1,20,6,1,Loadcell,MB160L-4/12FDB2336011.8/3.9kW400V50HzIP55TP,Cylindrical,24,11.8,3.9,400V,DoubleLiftingSpeed,IP55,MB160L,FDB23,50Hz,4,12,T100LA-4/12BR2001.1/0.37kW400V50HzIP55TP,Cylindrical,2.2,1.1,0.37,400V,DoubleLiftingSpeed,IP55,T100LA,BR,50Hz,4,12
1848,16M640H15.5V44/1MKD5220/6K,16,15.5,2m/M5,M640,41,15,DoubleGirder,4,1,20,6,1,Loadcell,MB160L-4/12FDB2336011.8/3.9kW400V50HzIP55TP,Cylindrical,24,11.8,3.9,400V,DoubleLiftingSpeed,IP55,MB160L,FDB23,50Hz,4,12,T100LA-4/12BR2001.1/0.37kW400V50HzIP55TP,Cylindrical,2.2,1.1,0.37,400V,DoubleLiftingSpeed,IP55,T100LA,BR,50Hz,4,12
1916,25M963H9.5V24/1MKD5220-2K,25,9.5,2m/M5,M963,41,20,DoubleGirder,2.5,0.6,-2,0,1,Loadcell,K3517-6/2442013/3kW400V50HzIP54TP,Conical,25,13,2,400V,DoubleLiftingSpeed,IP54,K3517,0,50Hz,6,24,DAS80K-4BR102001.5kW400V50HzIP55TP,Cylindrical,3.3,1.5,0,400V,SingleLiftingSpeed,IP55,DAS80K,BR10,50Hz,4,0
1923,25M963H15.5V24/1MKD5220-2K,25,15.5,2m/M5,M963,41,20,DoubleGirder,2.5,0.6,-2,0,1,Loadcell,K3517-6/2442013/3kW400V50HzIP54TP,Conical,25,13,2,400V,DoubleLiftingSpeed,IP54,K3517,0,50Hz,6,24,DAS80K-4BR102001.5kW400V50HzIP55TP,Cylindrical,3.3,1.5,0,400V,SingleLiftingSpeed,IP55,DAS80K,BR10,50Hz,4,0
1933,25M963H23V24/1MKD5220-2K,25,23,2m/M5,M963,41,20,DoubleGirder,2.5,0.6,-2,0,1,Loadcell,K3517-6/2442013/3kW400V50HzIP54TP,Conical,25,13,2,400V,DoubleLiftingSpeed,IP54,K3517,0,50Hz,6,24,DAS80K-4BR102001.5kW400V50HzIP55TP,Cylindrical,3.3,1.5,0,400V,SingleLiftingSpeed,IP55,DAS80K,BR10,50Hz,4,0
1846,10M750H12V82/1MKD5220/6,10,12,2m/M5,M750,21,15,DoubleGirder,8,2.6,20,6,1,Loadcell,MB160L-4/12FDB2636015/5kW400V50HzIP55TP,Cylindrical,32.5,15,5,400V,DoubleLiftingSpeed,IP55,MB160L,FDB26,50Hz,4,12,T90S-4/12BR2000.55/0.18kW400V50HzIP55TP,Cylindrical,1.12,0.55,0.18,400V,DoubleLiftingSpeed,IP55,T90S,BR,50Hz,4,12
1849,10M750H17V82/1MKD5220/6,10,17,2m/M5,M750,21,15,DoubleGirder,8,2.6,20,6,1,Loadcell,MB160L-4/12FDB2636015/5kW400V50HzIP55TP,Cylindrical,32.5,15,5,400V,DoubleLiftingSpeed,IP55,MB160L,FDB26,50Hz,4,12,T90S-4/12BR2000.55/0.18kW400V50HzIP55TP,Cylindrical,1.12,0.55,0.18,400V,DoubleLiftingSpeed,IP55,T90S,BR,50Hz,4,12
1856,10M750H24V82/1MKD5220/6,10,24,2m/M5,M750,21,15,DoubleGirder,8,2.6,20,6,1,Loadcell,MB160L-4/12FDB2636015/5kW400V50HzIP55TP,Cylindrical,32.5,15,5,400V,DoubleLiftingSpeed,IP55,MB160L,FDB26,50Hz,4,12,T90S-4/12BR2000.55/0.18kW400V50HzIP55TP,Cylindrical,1.12,0.55,0.18,400V,DoubleLiftingSpeed,IP55,T90S,BR,50Hz,4,12
1860,10M750H31V82/1MKD5220/6,10,31,2m/M5,M750,21,15,DoubleGirder,8,2.6,20,6,1,Loadcell,MB160L-4/12FDB2636015/5kW400V50HzIP55TP,Cylindrical,32.5,15,5,400V,DoubleLiftingSpeed,IP55,MB160L,FDB26,50Hz,4,12,T90S-4/12BR2000.55/0.18kW400V50HzIP55TP,Cylindrical,1.12,0.55,0.18,400V,DoubleLiftingSpeed,IP55,T90S,BR,50Hz,4,12
1875,20M750H6V44/1MKD5220/6,20,6,2m/M5,M750,41,15,DoubleGirder,4,1,20,6,1,Loadcell,MB160L-4/12FDB2636015/5kW400V50HzIP55TP,Cylindrical,32.5,15,5,400V,DoubleLiftingSpeed,IP55,MB160L,FDB26,50Hz,4,12,T100LA-4/12BR2501.1/0.37kW400V50HzIP55TP,Cylindrical,2.2,1.1,0.37,400V,DoubleLiftingSpeed,IP55,T100LA,BR,50Hz,4,12
1879,20M750H8.5V44/1MKD5220/6K,20,8.5,2m/M5,M750,41,15,DoubleGirder,4,1,20,6,1,Loadcell,MB160L-4/12FDB2636015/5kW400V50HzIP55TP,Cylindrical,32.5,15,5,400V,DoubleLiftingSpeed,IP55,MB160L,FDB26,50Hz,4,12,T100LA-4/12BR2501.1/0.37kW400V50HzIP55TP,Cylindrical,2.2,1.1,0.37,400V,DoubleLiftingSpeed,IP55,T100LA,BR,50Hz,4,12
1883,20M750H12V44/1MKD5220/6K,20,12,2m/M5,M750,41,15,DoubleGirder,4,1,20,6,1,Loadcell,MB160L-4/12FDB2636015/5kW400V50HzIP55TP,Cylindrical,32.5,15,5,400V,DoubleLiftingSpeed,IP55,MB160L,FDB26,50Hz,4,12,T100LA-4/12BR2501.1/0.37kW400V50HzIP55TP,Cylindrical,2.2,1.1,0.37,400V,DoubleLiftingSpeed,IP55,T100LA,BR,50Hz,4,12
1888,20M750H15.5V44/1MKD5220/6K,20,15.5,2m/M5,M750,41,15,DoubleGirder,4,1,20,6,1,Loadcell,MB160L-4/12FDB2636015/5kW400V50HzIP55TP,Cylindrical,32.5,15,5,400V,DoubleLiftingSpeed,IP55,MB160L,FDB26,50Hz,4,12,T100LA-4/12BR2501.1/0.37kW400V50HzIP55TP,Cylindrical,2.2,1.1,0.37,400V,DoubleLiftingSpeed,IP55,T100LA,BR,50Hz,4,12
1915,32M980H9.5V24/1MKD5220-2K,32,9.5,1Am/M4,M980,41,20,DoubleGirder,2.5,0.6,20,-2,2,Loadcell,K3518-6/2442016/4kW400V50HzIP54TP,Conical,34,16,4,400V,DoubleLiftingSpeed,IP54,K3518,0,50Hz,6,24,DAS80SX-4BR102001.1kW400V50HzIP55TP,Cylindrical,3,1.1,0,400V,SingleLiftingSpeed,IP55,DAS80SX,BR10,50Hz,4,0
1920,32M980H15.5V24/1MKD5220-2K,32,15.5,1Am/M4,M980,41,20,DoubleGirder,2.5,0.6,20,-2,2,Loadcell,K3518-6/2442016/4kW400V50HzIP54TP,Conical,34,16,4,400V,DoubleLiftingSpeed,IP54,K3518,0,50Hz,6,24,DAS80SX-4BR102001.1kW400V50HzIP55TP,Cylindrical,3,1.1,0,400V,SingleLiftingSpeed,IP55,DAS80SX,BR10,50Hz,4,0
1930,32M980H23V24/1MKD5220-2K,32,23,1Am/M4,M980,41,20,DoubleGirder,2.5,0.6,20,-2,2,Loadcell,K3518-6/2442016/4kW400V50HzIP54TP,Conical,34,16,4,400V,DoubleLiftingSpeed,IP54,K3518,0,50Hz,6,24,DAS80SX-4BR102001.1kW400V50HzIP55TP,Cylindrical,3,1.1,0,400V,SingleLiftingSpeed,IP55,DAS80SX,BR10,50Hz,4,0
1047,40M1125H11V24/1MKD5220-2K,40,11,1Am/M4,M1100,41,24,DoubleGirder,1.3,0.3,20,-2,2,Loadcell,K3518NM-4/2442020/3.3kW400V50HzIP54,Conical,42,20,0,400V,DoubleLiftingSpeed,IP55,K3518NM,0,50Hz,4,24,T100LA-4BR2502.2kW400V50HzIP55TP,Cylindrical,3.65,2.2,0,400V,SingleLiftingSpeed,IP55,T100LA,BR,50Hz,4,0
1048,40M1125H14.5V24/1MKD5220-2K,40,14.5,1Am/M4,M1100,41,24,DoubleGirder,1.3,0.3,20,-2,2,Loadcell,MB180L-4/12FDB2642020/6.5kW400V50HzIP55TP,Cylindrical,42,20,6.5,400V,DoubleLiftingSpeed,IP55,MB180L,FDB26,50Hz,4,12,T100LA-4BR2502.2kW400V50HzIP55TP,Cylindrical,3.65,2.2,0,400V,SingleLiftingSpeed,IP55,T100LA,BR,50Hz,4,0
1049,40M1125H18V24/1MKD5220-2K,40,18,1Am/M4,M1100,41,24,DoubleGirder,1.3,0.3,20,-2,2,Loadcell,MB180L-4/12FDB2642020/6.5kW400V50HzIP55TP,Cylindrical,42,20,6.5,400V,DoubleLiftingSpeed,IP55,MB180L,FDB26,50Hz,4,12,T100LA-4BR2502.2kW400V50HzIP55TP,Cylindrical,3.65,2.2,0,400V,SingleLiftingSpeed,IP55,T100LA,BR,50Hz,4,0
1050,40M1125H26V24/1MKD5220-2K,40,26,1Am/M4,M1100,41,24,DoubleGirder,1.3,0.3,20,-2,2,Loadcell,MB180L-4/12FDB2642020/6.5kW400V50HzIP55TP,Cylindrical,42,20,6.5,400V,DoubleLiftingSpeed,IP55,MB180L,FDB26,50Hz,4,12,T100LA-4BR2502.2kW400V50HzIP55TP,Cylindrical,3.65,2.2,0,400V,SingleLiftingSpeed,IP55,T100LA,BR,50Hz,4,0
1890,25M863H9.5V44/1MKD5220-2K,25,9.5,1Am/M4,M863,41,20,DoubleGirder,4,1.2,20,-2,1,Loadcell,MB180L-4/12FDB2642020/6.5kW400V50HzIP55TP,Cylindrical,42,20,6.5,400V,DoubleLiftingSpeed,IP55,MB180L,FDB26,50Hz,4,12,DAS80K-4BR102001.5kW400V50HzIP55TP,Cylindrical,3.3,1.5,0,400V,SingleLiftingSpeed,IP55,DAS80K,BR10,50Hz,4,0
1891,25M863H15.5V44/1MKD5220-2K,25,15.5,1Am/M4,M863,41,20,DoubleGirder,4,1.2,20,-2,1,Loadcell,MB180L-4/12FDB2642020/6.5kW400V50HzIP55TP,Cylindrical,42,20,6.5,400V,DoubleLiftingSpeed,IP55,MB180L,FDB26,50Hz,4,12,DAS80K-4BR102001.5kW400V50HzIP55TP,Cylindrical,3.3,1.5,0,400V,SingleLiftingSpeed,IP55,DAS80K,BR10,50Hz,4,0
1898,25M863H23V44/1MKD5220-2K,25,23,1Am/M4,M863,41,20,DoubleGirder,4,1.2,20,-2,1,Loadcell,MB180L-4/12FDB2642020/6.5kW400V50HzIP55TP,Cylindrical,42,20,6.5,400V,DoubleLiftingSpeed,IP55,MB180L,FDB26,50Hz,4,12,DAS80K-4BR102001.5kW400V50HzIP55TP,Cylindrical,3.3,1.5,0,400V,SingleLiftingSpeed,IP55,DAS80K,BR10,50Hz,4,0
1921,25M963H9.5V44/1MKD5220-2K,25,9.5,2m/M5,M963,41,20,DoubleGirder,4,1.2,20,-2,1,Loadcell,MB180L-4/12FDB2642020/6.5kW400V50HzIP55TP,Cylindrical,42,20,6.5,400V,DoubleLiftingSpeed,IP55,MB180L,FDB26,50Hz,4,12,DAS80K-4BR102001.5kW400V50HzIP55TP,Cylindrical,3.3,1.5,0,400V,SingleLiftingSpeed,IP55,DAS80K,BR10,50Hz,4,0
1926,25M963H15.5V44/1MKD5220-2K,25,15.5,2m/M5,M963,41,20,DoubleGirder,4,1.2,20,-2,1,Loadcell,MB180L-4/12FDB2642020/6.5kW400V50HzIP55TP,Cylindrical,42,20,6.5,400V,DoubleLiftingSpeed,IP55,MB180L,FDB26,50Hz,4,12,DAS80K-4BR102001.5kW400V50HzIP55TP,Cylindrical,3.3,1.5,0,400V,SingleLiftingSpeed,IP55,DAS80K,BR10,50Hz,4,0
1937,25M963H23V44/1MKD5220-2K,25,23,2m/M5,M963,41,20,DoubleGirder,4,1.2,20,-2,1,Loadcell,MB180L-4/12FDB2642020/6.5kW400V50HzIP55TP,Cylindrical,42,20,6.5,400V,DoubleLiftingSpeed,IP55,MB180L,FDB26,50Hz,4,12,DAS80K-4BR102001.5kW400V50HzIP55TP,Cylindrical,3.3,1.5,0,400V,SingleLiftingSpeed,IP55,DAS80K,BR10,50Hz,4,0
1945,50M1125H11V24/1MKD5220-2K,50,11,1Am/M4,M1125,41,24,DoubleGirder,1.3,0.3,20,-2,2,Loadcell,MB180L-4/12FDB2642020/6.5kW400V50HzIP55TP,Cylindrical,42,20,6.5,400V,DoubleLiftingSpeed,IP55,MB180L,FDB26,50Hz,4,12,T100LA-4BR2502.2kW400V50HzIP55TP,Cylindrical,3.65,2.2,0,400V,SingleLiftingSpeed,IP55,T100LA,BR,50Hz,4,0
1946,50M1125H14.5V24/1MKD5220-2K,50,14.5,1Am/M4,M1125,41,24,DoubleGirder,1.3,0.3,20,-2,2,Loadcell,MB180L-4/12FDB2642020/6.5kW400V50HzIP55TP,Cylindrical,42,20,6.5,400V,DoubleLiftingSpeed,IP55,MB180L,FDB26,50Hz,4,12,T100LA-4BR2502.2kW400V50HzIP55TP,Cylindrical,3.65,2.2,0,400V,SingleLiftingSpeed,IP55,T100LA,BR,50Hz,4,0
1947,50M1125H18V24/1MKD5220-2K,50,18,1Am/M4,M1125,41,24,DoubleGirder,1.3,0.3,20,-2,2,Loadcell,MB180L-4/12FDB2642020/6.5kW400V50HzIP55TP,Cylindrical,42,20,6.5,400V,DoubleLiftingSpeed,IP55,MB180L,FDB26,50Hz,4,12,T100LA-4BR2502.2kW400V50HzIP55TP,Cylindrical,3.65,2.2,0,400V,SingleLiftingSpeed,IP55,T100LA,BR,50Hz,4,0
1948,50M1125H26V24/1MKD5220-2K,50,26,1Am/M4,M1125,41,24,DoubleGirder,1.3,0.3,20,-2,2,Loadcell,MB180L-4/12FDB2642020/6.5kW400V50HzIP55TP,Cylindrical,42,20,6.5,400V,DoubleLiftingSpeed,IP55,MB180L,FDB26,50Hz,4,12,T100LA-4BR2502.2kW400V50HzIP55TP,Cylindrical,3.65,2.2,0,400V,SingleLiftingSpeed,IP55,T100LA,BR,50Hz,4,0
1922,32M980H9.5V44/1MKD5220-2K,32,9.5,1Am/M4,M980,41,20,DoubleGirder,4,1.2,20,-2,2,Loadcell,K3518-4/2442024/4kW400V50HzIP54TP,Conical,50.1,24,0.12,400V,DoubleLiftingSpeed,IP55,K3518,0,50Hz,4,24,DAS80SX-4BR102001.1kW400V50HzIP55TP,Cylindrical,3,1.1,0,400V,SingleLiftingSpeed,IP55,DAS80SX,BR10,50Hz,4,0
1927,32M980H15.5V44/1MKD5220-2K,32,15.5,1Am/M4,M980,41,20,DoubleGirder,4,1.2,20,-2,2,Loadcell,K3518-4/2442024/4kW400V50HzIP54TP,Conical,50.1,24,0.12,400V,DoubleLiftingSpeed,IP55,K3518,0,50Hz,4,24,DAS80SX-4BR102001.1kW400V50HzIP55TP,Cylindrical,3,1.1,0,400V,SingleLiftingSpeed,IP55,DAS80SX,BR10,50Hz,4,0
1938,32M980H23V44/1MKD5220-2K,32,23,1Am/M4,M980,41,20,DoubleGirder,4,1.2,20,-2,2,Loadcell,K3518-4/2442024/4kW400V50HzIP54TP,Conical,50.1,24,0.12,400V,DoubleLiftingSpeed,IP55,K3518,0,50Hz,4,24,DAS80SX-4BR102001.1kW400V50HzIP55TP,Cylindrical,3,1.1,0,400V,SingleLiftingSpeed,IP55,DAS80SX,BR10,50Hz,4,0
